-999 -999 -999     7.28300 -999.00000   13.03775 -999.00000 -999.00000
-999 -999 -999     9.74200 -999.00000   12.50848 -999.00000 -999.00000
-999 -999 -999     9.47100 -999.00000   12.15965 -999.00000 -999.00000
-999 -999 -999     9.55500 -999.00000   11.86182 -999.00000 -999.00000
-999 -999 -999    10.04600 -999.00000   11.62368 -999.00000 -999.00000
-999 -999 -999     8.74600 -999.00000   11.39275 -999.00000 -999.00000
-999 -999 -999     8.97400 -999.00000   11.16260 -999.00000 -999.00000
-999 -999 -999     7.39200 -999.00000   10.92622 -999.00000 -999.00000
-999 -999 -999     6.79200 -999.00000   10.66837 -999.00000 -999.00000
-999 -999 -999     8.68700 -999.00000   10.46805 -999.00000 -999.00000
-999 -999 -999    12.91300 -999.00000   10.41220 -999.00000 -999.00000
-999 -999 -999    14.71300 -999.00000   10.48292 -999.00000 -999.00000
-999 -999 -999    11.90400 -999.00000   10.52643 -999.00000 -999.00000
-999 -999 -999     5.68800 -999.00000   10.37576 -999.00000 -999.00000
-999 -999 -999     7.48300 -999.00000   10.15307 -999.00000 -999.00000
-999 -999 -999    10.68300 -999.00000   10.04517 -999.00000 -999.00000
-999 -999 -999    11.81700 -999.00000   10.02351 -999.00000 -999.00000
-999 -999 -999    10.69200 -999.00000   10.00136 -999.00000 -999.00000
-999 -999 -999     8.75800 -999.00000    9.92314 -999.00000 -999.00000
-999 -999 -999     9.75400 -999.00000    9.83282 -999.00000 -999.00000
-999 -999 -999    11.06200 -999.00000    9.78748 -999.00000 -999.00000
-999 -999 -999    12.15000 -999.00000    9.78486 -999.00000 -999.00000
-999 -999 -999    13.60000 -999.00000    9.82540 -999.00000 -999.00000
-999 -999 -999    13.60400 -999.00000    9.88875 -999.00000 -999.00000
-999 -999 -999    10.58800 -999.00000    9.89380 -999.00000 -999.00000
-999 -999 -999     9.95200 -999.00000    9.83269 -999.00000 -999.00000
-999 -999 -999    11.90000 -999.00000    9.79738 -999.00000 -999.00000
-999 -999 -999     8.72500 -999.00000    9.74094 -999.00000 -999.00000
